Carrera,Grupo,Clave,Materia,CRN,Profesor,Dia,Hora inicio,Hora Fin,Aula,Modalidad
Abogado,2A,IC880,DERECHO CIVIL I,145837,GOMEZ SANDOVAL ESMERALDA LIZETTE,MARTES,18,19,EL104,HIBRIDA
Abogado,2A,IC862,TEORIA DE LAS ESTRUCTURAS POLITICAS Y DE GOBIERNO,146045,BUENROSTRO ROBLES PEDRO,MIERCOLES,8,10,B14,HIBRIDA
Abogado,2A,REC01,RECREACION Y APROVECHAMIENTO,,,MIERCOLES,10,12,AULA-RECREACION-6,
Abogado,2A,IC879,TEORIA GENERAL DEL PROCESO,146060,MARTINEZ CARRILLO RANULFO,MIERCOLES,12,14,B2,HIBRIDA
Abogado,2A,IC865,LENGUA EXTRANJERA II,146106,FONSECA DIAZ RICARDO,MIERCOLES,14,16,B2,TOTAL PRESENCIAL
Abogado,2A,IC862,TEORIA DE LAS ESTRUCTURAS POLITICAS Y DE GOBIERNO,146045,BUENROSTRO ROBLES PEDRO,MIERCOLES,17,18,EL19,HIBRIDA
Abogado,2A,IC869,TEORIA DE LOS DERECHOS HUMANOS,146051,FLORES LARA ANA ELIZABETH,JUEVES,8,10,EL11,TOTAL EN LINEA
Abogado,2A,IC861,ECONOMIA Y DERECHO,145947,AGUILAR NAVARRO RAUL,JUEVES,20,21,EL50,HIBRIDA
Abogado,2A,IC879,TEORIA GENERAL DEL PROCESO,146060,MARTINEZ CARRILLO RANULFO,SABADO,19,20,EL09,HIBRIDA
Abogado,2A,IC878,SISTEMAS JURIDICOS CONTEMPORANEOS,146034,MURILLO LAMAS OSCAR EFRAIN,SABADO,20,21,EL14,HIBRIDA
Abogado,2B,IC880,DERECHO CIVIL I,145838,BUENROSTRO ROBLES PEDRO,LUNES,18,19,EL95,HIBRIDA
Abogado,2B,IC865,LENGUA EXTRANJERA II,146108,GOMEZ GONZALEZ CLAUDIA VERONICA,MARTES,8,10,C16,TOTAL PRESENCIAL
Abogado,2B,IC907,ESTUDIO DE CASO DE INSTITUCIONES JURIDICAS II,145955,AGUILAR NAVARRO RAUL,MARTES,10,12,A3,TOTAL PRESENCIAL
Abogado,2B,IC862,TEORIA DE LAS ESTRUCTURAS POLITICAS Y DE GOBIERNO,146047,CORTES JOSE GILBERTO,MARTES,12,14,B2,HIBRIDA
Abogado,2B,REC01,RECREACION Y APROVECHAMIENTO,,,MARTES,14,16,AULA-RECREACION-7,
Abogado,2B,IC879,TEORIA GENERAL DEL PROCESO,146061,CEJA PEGUERO ALDERIV,MARTES,16,18,A10,HIBRIDA
Abogado,2B,IC878,SISTEMAS JURIDICOS CONTEMPORANEOS,146035,MURILLO LAMAS OSCAR EFRAIN,MARTES,18,19,EL85,HIBRIDA
Abogado,2B,IC869,TEORIA DE LOS DERECHOS HUMANOS,146050,CEJA PEGUERO ALDERIV,MIERCOLES,18,19,EL84,HIBRIDA
Abogado,2B,IC861,ECONOMIA Y DERECHO,145949,AHUMADA GONZALEZ APOLONIO,JUEVES,18,19,EL89,HIBRIDA
Abogado,2B,IC880,DERECHO CIVIL I,145838,BUENROSTRO ROBLES PEDRO,VIERNES,8,10,C7,HIBRIDA
Abogado,2B,IC878,SISTEMAS JURIDICOS CONTEMPORANEOS,146035,MURILLO LAMAS OSCAR EFRAIN,VIERNES,10,12,B15,HIBRIDA
Abogado,2B,IC861,ECONOMIA Y DERECHO,145949,AHUMADA GONZALEZ APOLONIO,VIERNES,12,14,B6,HIBRIDA
Abogado,2B,REC01,RECREACION Y APROVECHAMIENTO,,,VIERNES,14,16,AULA-RECREACION-3,
Abogado,2B,IC869,TEORIA DE LOS DERECHOS HUMANOS,146050,CEJA PEGUERO ALDERIV,VIERNES,16,18,A1,HIBRIDA
Abogado,2B,IC879,TEORIA GENERAL DEL PROCESO,146061,CEJA PEGUERO ALDERIV,SABADO,15,16,EL1,HIBRIDA
Abogado,2B,IC862,TEORIA DE LAS ESTRUCTURAS POLITICAS Y DE GOBIERNO,146047,CORTES JOSE GILBERTO,SABADO,17,18,EL30,HIBRIDA
Abogado,3A,IC881,DERECHO CIVIL II,150148,LIZAOLA ZEPEDA GRACIELA GUADALUPE,LUNES,18,19,EL93,HIBRIDA
Abogado,3A,IC887,DERECHO INDIVIDUAL DEL TRABAJO,150259,HERNANDEZ GONZALEZ ADRIANA,MARTES,8,10,A12,HIBRIDA
