Carrera,Grupo,Clave,Materia,CRN,Profesor,Dia,Hora inicio,Hora Fin,Aula,Modalidad
Ing. Mecatronica,1A,IE009,QUIMICA,147403,GARCIA SANCHEZ ANDRES,LUNES,8,10,C13,TOTAL PRESENCIAL
Ing. Mecatronica,1A,MT101,PRECALCULO,164314,TORREALBA GARCIA CLAUDIA JANET AMPARO,LUNES,12,14,A4,TOTAL PRESENCIAL
Ing. Mecatronica,1A,IE010,INTRODUCCION A LA MECATRONICA,147445,CORTES VILLEGAS LORENZA AUGUSTA,LUNES,14,15,D15,TOTAL PRESENCIAL
Ing. Mecatronica,1A,IE008,INTRODUCCION AL DISE~O DE ALGORITMOS,147429,CASTILLO RIZO JORGE ERNESTO,LUNES,16,18,A8,TOTAL PRESENCIAL
Ing. Mecatronica,1A,TUT01,TUTORIAS,,,MIERCOLES,10,12,EL15,
Ing. Mecatronica,1A,REC03,RECREACION Y APROVECHAMIENTO,,,MIERCOLES,12,14,AULA-RECREACION-2,
Ing. Mecatronica,1A,TUT01,TUTORIAS,,,MIERCOLES,12,14,B4,
Ing. Mecatronica,1A,IE033,METROLOGIA,170811,CORTES VILLEGAS LORENZA AUGUSTA,MIERCOLES,14,16,A5,
Ing. Mecatronica,1A,V2455,ANALISIS DE PROBLEMAS GLOBALES DEL SIGLO XXI,213333,NAVEJAS PADILLA RAMON GERARDO,MIERCOLES,19,21,EL84,
Ing. Mecatronica,1A,IE011,EXPRESION ORAL Y ESCRITA,147450,FLORES ASCENCIO JONATHAN ISAAC,JUEVES,8,10,D8,HIBRIDA
Ing. Mecatronica,1A,IE009,QUIMICA,147403,GARCIA SANCHEZ ANDRES,JUEVES,10,11,A10,TOTAL PRESENCIAL
Ing. Mecatronica,1A,IE010,INTRODUCCION A LA MECATRONICA,147445,CORTES VILLEGAS LORENZA AUGUSTA,JUEVES,12,14,C1,TOTAL PRESENCIAL
Ing. Mecatronica,1A,IE012,HISTORIA DE LA TECNOLOGIA,147454,FLORES BARRAGAN BERENICE,JUEVES,14,16,A8,HIBRIDA
Ing. Mecatronica,1A,IE008,INTRODUCCION AL DISE~O DE ALGORITMOS,147429,CASTILLO RIZO JORGE ERNESTO,JUEVES,16,18,A6,TOTAL PRESENCIAL
Ing. Mecatronica,1A,MT101,PRECALCULO,164314,TORREALBA GARCIA CLAUDIA JANET AMPARO,JUEVES,18,20,EL82,TOTAL PRESENCIAL
Ing. Mecatronica,1A,IE012,HISTORIA DE LA TECNOLOGIA,147454,FLORES BARRAGAN BERENICE,VIERNES,18,19,EL12,HIBRIDA
Ing. Mecatronica,1A,IE033,METROLOGIA,170811,CORTES VILLEGAS LORENZA AUGUSTA,SABADO,16,18,EL17,
Ing. Mecatronica,1A,V2455,ANALISIS DE PROBLEMAS GLOBALES DEL SIGLO XXI,213333,NAVEJAS PADILLA RAMON GERARDO,SABADO,18,20,EL55,
Ing. Mecatronica,1A,IE011,EXPRESION ORAL Y ESCRITA,147450,FLORES ASCENCIO JONATHAN ISAAC,SABADO,20,21,EL43,HIBRIDA
Ing. Mecatronica,2A,IE018,DIBUJO ASISTIDO POR COMPUTADORA PARA INGENIERIA,163468,JIMENEZ GARCIA INGRID PAULINA,LUNES,20,21,EL10,TOTAL PRESENCIAL
Ing. Mecatronica,2A,IE061,REDES DE COMPUTO I,152750,GOMEZ HERRERA MARCO ANTONIO,MARTES,8,10,CITA2,HIBRIDA
Ing. Mecatronica,2A,IE033,METROLOGIA,152745,CORTES VILLEGAS LORENZA AUGUSTA,MARTES,10,12,D7,HIBRIDA
Ing. Mecatronica,2A,IE041,TECNICAS DE PROGRAMACION,152752,ZATARAIN DURAN OMAR ALI,MARTES,12,14,CITA2,TOTAL PRESENCIAL
Ing. Mecatronica,2A,IE027,ESTATICA,152133,PEREZ MARTINEZ ARTURO NASCIR,MARTES,14,16,B5,TOTAL PRESENCIAL
Ing. Mecatronica,2A,IE017,CIRCUITOS ELECTRICOS DE CD,152724,CALDERON MAYORGA CESAR,MIERCOLES,8,10,A9,HIBRIDA
Ing. Mecatronica,2A,IE014,CALCULO DIFERENCIAL,152123,LOPEZ OSORIO MARIA ALICIA,MIERCOLES,10,12,C15,TOTAL PRESENCIAL
Ing. Mecatronica,2A,IE018,DIBUJO ASISTIDO POR COMPUTADORA PARA INGENIERIA,163468,JIMENEZ GARCIA INGRID PAULINA,MIERCOLES,12,14,A8,TOTAL PRESENCIAL
Ing. Mecatronica,2A,IE017,CIRCUITOS ELECTRICOS DE CD,152724,CALDERON MAYORGA CESAR,JUEVES,8,10,A11,HIBRIDA
Ing. Mecatronica,2A,IE051,ETICA,150965,GONZALEZ DUEÑAS MIRIAM,JUEVES,10,12,A11,HIBRIDA
Ing. Mecatronica,2A,IE014,CALCULO DIFERENCIAL,152123,LOPEZ OSORIO MARIA ALICIA,JUEVES,12,14,D13,TOTAL PRESENCIAL
Ing. Mecatronica,2A,IE041,TECNICAS DE PROGRAMACION,152752,ZATARAIN DURAN OMAR ALI,VIERNES,12,14,A8,TOTAL PRESENCIAL
Ing. Mecatronica,2A,REC03,RECREACION Y APROVECHAMIENTO,,,VIERNES,14,16,AULA-RECREACION-4,
Ing. Mecatronica,2A,IE027,ESTATICA,152133,PEREZ MARTINEZ ARTURO NASCIR,VIERNES,16,17,B14,TOTAL PRESENCIAL
Ing. Mecatronica,2A,IE033,METROLOGIA,152745,CORTES VILLEGAS LORENZA AUGUSTA,SABADO,10,12,EL34,HIBRIDA
Ing. Mecatronica,2A,IE061,REDES DE COMPUTO I,152750,GOMEZ HERRERA MARCO ANTONIO,SABADO,12,14,EL31,HIBRIDA
Ing. Mecatronica,2A,IE051,ETICA,150965,GONZALEZ DUEÑAS MIRIAM,SABADO,20,21,EL44,HIBRIDA
Ing. Mecatronica,2B,IE041,TECNICAS DE PROGRAMACION,152753,FAUSTO LOPEZ JOSE LUIS,LUNES,8,10,A7,
Ing. Mecatronica,2B,IE041,TECNICAS DE PROGRAMACION,152753,FAUSTO LOPEZ JOSE LUIS,LUNES,10,12,A6,
Ing. Mecatronica,2B,IE014,CALCULO DIFERENCIAL,156845,RODRIGUEZ OSORIO KARINA GABRIELA,LUNES,12,14,B11,
Ing. Mecatronica,2B,IE051,ETICA,171601,JUAREZ NAVARRO ALEJANDRA ARACELI,LUNES,14,16,D2,
Ing. Mecatronica,2B,IE018,DIBUJO ASISTIDO POR COMPUTADORA PARA INGENIERIA,181731,JIMENEZ GARCIA INGRID PAULINA,MARTES,18,19,EL92,
Ing. Mecatronica,2B,IE027,ESTATICA,152134,CALDERON MAGALLON JOSE PAUL,MIERCOLES,12,14,C3,
Ing. Mecatronica,2B,IE017,CIRCUITOS ELECTRICOS DE CD,152725,ALVAREZ MEDINA CESAR,MIERCOLES,14,16,A6,
Ing. Mecatronica,2B,IE061,REDES DE COMPUTO I,170819,FAUSTO LOPEZ JOSE LUIS,JUEVES,18,20,EL43,
Ing. Mecatronica,2B,IE033,METROLOGIA,181862,CORTES VILLEGAS LORENZA AUGUSTA,VIERNES,8,10,C13,
Ing. Mecatronica,2B,IE061,REDES DE COMPUTO I,170819,FAUSTO LOPEZ JOSE LUIS,VIERNES,10,12,A8,
Ing. Mecatronica,2B,IE018,DIBUJO ASISTIDO POR COMPUTADORA PARA INGENIERIA,181731,JIMENEZ GARCIA INGRID PAULINA,VIERNES,12,14,CITA2,
Ing. Mecatronica,2B,REC03,RECREACION Y APROVECHAMIENTO,,,VIERNES,14,16,AULA-RECREACION-11,
Ing. Mecatronica,2B,IE017,CIRCUITOS ELECTRICOS DE CD,152725,ALVAREZ MEDINA CESAR,VIERNES,16,18,A15,
Ing. Mecatronica,2B,IE014,CALCULO DIFERENCIAL,156845,RODRIGUEZ OSORIO KARINA GABRIELA,SABADO,10,12,EL11,
Ing. Mecatronica,2B,IE033,METROLOGIA,181862,CORTES VILLEGAS LORENZA AUGUSTA,SABADO,12,14,EL10,
Ing. Mecatronica,2B,IE027,ESTATICA,152134,CALDERON MAGALLON JOSE PAUL,SABADO,14,15,EL63,
Ing. Mecatronica,2B,IE051,ETICA,171601,JUAREZ NAVARRO ALEJANDRA ARACELI,SABADO,17,18,EL27,
Ing. Mecatronica,3A,IE015,CALCULO INTEGRAL,156849,MIXTECO SANCHEZ JUAN CARLOS,LUNES,8,10,D9,HIBRIDA
Ing. Mecatronica,3A,IE057,PROGRAMACION ORIENTADA A OBJETOS,158484,CASTILLO CHAVARIN JOSE ADOLFO,LUNES,10,12,A8,TOTAL PRESENCIAL
Ing. Mecatronica,3A,IE019,DINAMICA,156856,FLORES RUIZ HUGO MARCELO,LUNES,12,14,C16,HIBRIDA
Ing. Mecatronica,3A,IE084,PROBABILIDAD Y ESTADISTICA,158022,CALDERON MAYORGA CESAR,MARTES,18,19,EL28,HIBRIDA
Ing. Mecatronica,3A,IE038,PROCESOS DE MANUFACTURA,165839,GOMEZ QUINTERO CESAR ALFREDO,MIERCOLES,8,10,D9,HIBRIDA
Ing. Mecatronica,3A,REC03,RECREACION Y APROVECHAMIENTO,,,MIERCOLES,10,12,AULA-RECREACION-15,
Ing. Mecatronica,3A,IE084,PROBABILIDAD Y ESTADISTICA,158022,CALDERON MAYORGA CESAR,MIERCOLES,12,14,C2,HIBRIDA
Ing. Mecatronica,3A,IE050,ESTRUCTURA DE DATOS,158449,RAMOS CABRAL SILVIA,MIERCOLES,14,16,A8,HIBRIDA
Ing. Mecatronica,3A,IE015,CALCULO INTEGRAL,156849,MIXTECO SANCHEZ JUAN CARLOS,MIERCOLES,18,20,EL33,HIBRIDA
Ing. Mecatronica,3A,IE020,DISE~O ELECTRONICO ANALOGICO,158445,RENTERIA VARGAS ERASMO MISAEL,JUEVES,12,14,A10,HIBRIDA
Ing. Mecatronica,3A,IE016,CIRCUITOS ELECTRICOS DE CA,158444,RAMOS MARTINEZ MOISES BULMARO,JUEVES,14,16,D12,HIBRIDA
Ing. Mecatronica,3A,IE057,PROGRAMACION ORIENTADA A OBJETOS,158484,CASTILLO CHAVARIN JOSE ADOLFO,JUEVES,16,18,A9,TOTAL PRESENCIAL
Ing. Mecatronica,3A,IE019,DINAMICA,156856,FLORES RUIZ HUGO MARCELO,JUEVES,18,19,EL33,HIBRIDA
Ing. Mecatronica,3A,IE038,PROCESOS DE MANUFACTURA,165839,GOMEZ QUINTERO CESAR ALFREDO,VIERNES,18,20,EL75,HIBRIDA
Ing. Mecatronica,3A,IE016,CIRCUITOS ELECTRICOS DE CA,158444,RAMOS MARTINEZ MOISES BULMARO,SABADO,8,10,EL15,HIBRIDA
Ing. Mecatronica,3A,IE050,ESTRUCTURA DE DATOS,158449,RAMOS CABRAL SILVIA,SABADO,10,12,EL33,HIBRIDA
Ing. Mecatronica,3A,IE020,DISE~O ELECTRONICO ANALOGICO,158445,RENTERIA VARGAS ERASMO MISAEL,SABADO,14,16,EL24,HIBRIDA
Ing. Mecatronica,4A,IE013,CALCULO DE VARIAS VARIABLES,156841,SANTOS SILVA ROBERTO ALEJANDRO,LUNES,18,20,EL41,HIBRIDA
Ing. Mecatronica,4A,IE080,MECANICA DE FLUIDOS,164305,JIMENEZ GARCIA INGRID PAULINA,MARTES,8,10,A15,HIBRIDA
Ing. Mecatronica,4A,IE024,ECUACIONES DIFERENCIALES,164261,LOPEZ OSORIO MARIA ALICIA,MARTES,10,12,D3,HIBRIDA
Ing. Mecatronica,4A,IE021,DISE~O ELECTRONICO DIGITAL,163470,GONZALEZ ANGEL RAMON ENRIQUE,MARTES,12,14,LAB. ELECT. Y COMP.,HIBRIDA
Ing. Mecatronica,4A,IE021,DISE~O ELECTRONICO DIGITAL,163470,GONZALEZ ANGEL RAMON ENRIQUE,MARTES,14,16,A8,HIBRIDA
Ing. Mecatronica,4A,IE028,VARIABLE COMPLEJA,164428,SANTOS SILVA ROBERTO ALEJANDRO,MARTES,16,18,B14,HIBRIDA
Ing. Mecatronica,4A,IE025,ELECTRICIDAD Y MAGNETISMO,152127,LOPEZ VAZQUEZ PABLO CARLOS,MARTES,18,19,EL40,HIBRIDA
Ing. Mecatronica,4A,IE080,MECANICA DE FLUIDOS,164305,JIMENEZ GARCIA INGRID PAULINA,MIERCOLES,18,20,EL35,HIBRIDA
Ing. Mecatronica,4A,IE013,CALCULO DE VARIAS VARIABLES,156841,SANTOS SILVA ROBERTO ALEJANDRO,JUEVES,8,10,C7,HIBRIDA
Ing. Mecatronica,4A,IE025,ELECTRICIDAD Y MAGNETISMO,152127,LOPEZ VAZQUEZ PABLO CARLOS,JUEVES,10,12,A13,HIBRIDA
Ing. Mecatronica,4A,REC03,RECREACION Y APROVECHAMIENTO,,,JUEVES,12,14,AULA-RECREACION-4,
Ing. Mecatronica,4A,IE126,METODOS NUMERICOS,164308,RODRIGUEZ ARREOLA ALICIA,JUEVES,14,16,A2,HIBRIDA
Ing. Mecatronica,4A,IE081,MECANICA DE MATERIALES,164306,SEDANO QUIRARTE ARTURO,JUEVES,16,18,A3,HIBRIDA
Ing. Mecatronica,4A,IE024,ECUACIONES DIFERENCIALES,164261,LOPEZ OSORIO MARIA ALICIA,JUEVES,18,20,EL26,HIBRIDA
Ing. Mecatronica,4A,IE028,VARIABLE COMPLEJA,164428,SANTOS SILVA ROBERTO ALEJANDRO,SABADO,14,16,EL16,HIBRIDA
Ing. Mecatronica,4A,IE126,METODOS NUMERICOS,164308,RODRIGUEZ ARREOLA ALICIA,SABADO,16,18,EL14,HIBRIDA
Ing. Mecatronica,4A,IE081,MECANICA DE MATERIALES,164306,SEDANO QUIRARTE ARTURO,SABADO,18,19,ELS3,HIBRIDA
Ing. Mecatronica,4B,IE013,CALCULO DE VARIAS VARIABLES,156842,MORALES TRIGUEROS CYNDI ANAHY,LUNES,18,20,EL42,
Ing. Mecatronica,4B,IE025,ELECTRICIDAD Y MAGNETISMO,152128,VALLEJO DOMINGUEZ DIANA,MARTES,10,12,A4,
Ing. Mecatronica,4B,REC03,RECREACION Y APROVECHAMIENTO,,,MARTES,12,14,AULA-RECREACION-10,
Ing. Mecatronica,4B,IE013,CALCULO DE VARIAS VARIABLES,156842,MORALES TRIGUEROS CYNDI ANAHY,MARTES,14,16,D4,
Ing. Mecatronica,4B,IE028,VARIABLE COMPLEJA,182896,CASTAÑEDA VALDERRAMA ROCIO,MARTES,16,18,C12,
Ing. Mecatronica,4B,IE024,ECUACIONES DIFERENCIALES,182706,RODRIGUEZ OSORIO KARINA GABRIELA,MARTES,18,20,EL43,
Ing. Mecatronica,4B,IE025,ELECTRICIDAD Y MAGNETISMO,152128,VALLEJO DOMINGUEZ DIANA,MIERCOLES,18,19,EL37,
Ing. Mecatronica,4B,IE024,ECUACIONES DIFERENCIALES,182706,RODRIGUEZ OSORIO KARINA GABRIELA,JUEVES,10,12,D14,
Ing. Mecatronica,4B,IE021,DISE~O ELECTRONICO DIGITAL,181761,CALDERON MAYORGA CESAR,JUEVES,14,16,LAB. ELECT. Y COMP.,
Ing. Mecatronica,4B,IE081,MECANICA DE MATERIALES,182838,JIMENEZ GARCIA INGRID PAULINA,JUEVES,18,19,EL35,
Ing. Mecatronica,4B,IE080,MECANICA DE FLUIDOS,182837,JIMENEZ GARCIA INGRID PAULINA,VIERNES,8,10,D9,
Ing. Mecatronica,4B,IE081,MECANICA DE MATERIALES,182838,JIMENEZ GARCIA INGRID PAULINA,VIERNES,10,12,D9,
Ing. Mecatronica,4B,IE126,METODOS NUMERICOS,182840,RODRIGUEZ ARREOLA ALICIA,VIERNES,12,14,B15,
Ing. Mecatronica,4B,IE021,DISE~O ELECTRONICO DIGITAL,181761,CALDERON MAYORGA CESAR,VIERNES,14,16,CITA1,
Ing. Mecatronica,4B,IE028,VARIABLE COMPLEJA,182896,CASTAÑEDA VALDERRAMA ROCIO,VIERNES,18,20,EL24,
Ing. Mecatronica,4B,IE126,METODOS NUMERICOS,182840,RODRIGUEZ ARREOLA ALICIA,SABADO,14,16,EL41,
Ing. Mecatronica,4B,IE080,MECANICA DE FLUIDOS,182837,JIMENEZ GARCIA INGRID PAULINA,SABADO,16,18,EL32,
Ing. Mecatronica,5A,IE063,SISTEMAS DINAMICOS,170305,CORTES VILLEGAS LORENZA AUGUSTA,LUNES,8,10,D4,HIBRIDA
Ing. Mecatronica,5A,REC03,RECREACION Y APROVECHAMIENTO,,,LUNES,10,12,AULA-RECREACION-5,
Ing. Mecatronica,5A,IE036,MICROCONTROLADORES,170812,GONZALEZ ANGEL RAMON ENRIQUE,LUNES,12,14,C11,HIBRIDA
Ing. Mecatronica,5A,IE032,CONTROLADORES LOGICOS PROGRAMABLES,181730,SORCIA VAZQUEZ FELIPE DE JESUS,LUNES,14,16,C6,HIBRIDA
Ing. Mecatronica,5A,IE044,ANALISIS DE FOURIER,168574,SANCHEZ TIZAPA MARCIANO,LUNES,18,20,EL43,HIBRIDA
Ing. Mecatronica,5A,IE039,SENSORES E INSTRUMENTACION,170825,RENTERIA VARGAS ERASMO MISAEL,LUNES,20,22,EL28,HIBRIDA
Ing. Mecatronica,5A,IE037,MOTORES ELECTRICOS,170818,FLORES LEON HECTOR DANIEL,MARTES,18,20,EL19,HIBRIDA
Ing. Mecatronica,5A,IE039,SENSORES E INSTRUMENTACION,170825,RENTERIA VARGAS ERASMO MISAEL,MIERCOLES,8,10,C3,HIBRIDA
Ing. Mecatronica,5A,IE035,DISE~O DE ELEMENTOS DE MAQUINAS,170699,JIMENEZ GARCIA INGRID PAULINA,MIERCOLES,10,12,A9,HIBRIDA
Ing. Mecatronica,5A,IE026,ELECTRONICA DE POTENCIA,170710,PEREZ VIDAL ALAN FRANCISCO,MIERCOLES,12,14,MOVIL - AULA 1,HIBRIDA
Ing. Mecatronica,5A,IE044,ANALISIS DE FOURIER,168574,SANCHEZ TIZAPA MARCIANO,MIERCOLES,14,16,B16,HIBRIDA
Ing. Mecatronica,5A,IE037,MOTORES ELECTRICOS,170818,FLORES LEON HECTOR DANIEL,MIERCOLES,16,18,B4,HIBRIDA
Ing. Mecatronica,5A,IE036,MICROCONTROLADORES,170812,GONZALEZ ANGEL RAMON ENRIQUE,JUEVES,18,20,EL18,HIBRIDA
Ing. Mecatronica,5A,IE063,SISTEMAS DINAMICOS,170305,CORTES VILLEGAS LORENZA AUGUSTA,VIERNES,18,19,EL21,HIBRIDA
Ing. Mecatronica,5A,IE032,CONTROLADORES LOGICOS PROGRAMABLES,181730,SORCIA VAZQUEZ FELIPE DE JESUS,SABADO,8,10,EL26,HIBRIDA
Ing. Mecatronica,5A,IE035,DISE~O DE ELEMENTOS DE MAQUINAS,170699,JIMENEZ GARCIA INGRID PAULINA,SABADO,12,14,EL15,HIBRIDA
Ing. Mecatronica,5A,IE026,ELECTRONICA DE POTENCIA,170710,PEREZ VIDAL ALAN FRANCISCO,SABADO,14,16,EL19,HIBRIDA
Ing. Mecatronica,6A,IE052,INTERFACES HOMBRE-MAQUINA,177576,ALVAREZ BERNAL GILBERTO,LUNES,8,10,A14,HIBRIDA
Ing. Mecatronica,6A,IE029,ANALISIS DE SISTEMAS Y SE~ALES,176925,RAMOS MARTINEZ MOISES BULMARO,LUNES,10,12,CITA2,HIBRIDA
Ing. Mecatronica,6A,IE034,ELECTRONEUMATICA,177539,JIMENEZ GARCIA INGRID PAULINA,LUNES,12,14,LAB. MECATRÓNICA,HIBRIDA
Ing. Mecatronica,6A,IE053,MANUFACTURA ASISTIDA POR COMPUTADORA ( CAM ),177596,GUILLEN BONILLA ALEX,LUNES,14,16,B10,HIBRIDA
Ing. Mecatronica,6A,IE029,ANALISIS DE SISTEMAS Y SE~ALES,176925,RAMOS MARTINEZ MOISES BULMARO,MARTES,18,20,EL10,HIBRIDA
Ing. Mecatronica,6A,IE052,INTERFACES HOMBRE-MAQUINA,177576,ALVAREZ BERNAL GILBERTO,MIERCOLES,18,20,EL17,HIBRIDA
Ing. Mecatronica,6A,IE042,TEORIA DEL CONTROL,177691,SORCIA VAZQUEZ FELIPE DE JESUS,MIERCOLES,20,22,EL10,HIBRIDA
Ing. Mecatronica,6A,REC03,RECREACION Y APROVECHAMIENTO,,,JUEVES,8,10,AULA-RECREACION-11,
Ing. Mecatronica,6A,IE030,ANALISIS Y DISE~O DE MECANISMOS,177424,MARTIN DEL CAMPO MELENDREZ RENE MAXIMILIANO,JUEVES,10,12,A5,HIBRIDA
Ing. Mecatronica,6A,IE042,TEORIA DEL CONTROL,177691,SORCIA VAZQUEZ FELIPE DE JESUS,JUEVES,12,14,A9,HIBRIDA
Ing. Mecatronica,6A,IE049,DISE~O ELECTRONICO ASISTIDO POR COMPUTADORA,177514,RUIZ FERNANDEZ LUIS ENRIQUE,JUEVES,14,16,CITA 0,HIBRIDA
Ing. Mecatronica,6A,IE056,PROGRAMACION AVANZADA DE PLC,205532,RUIZ FERNANDEZ LUIS ENRIQUE,JUEVES,16,18,LAB. MECATRÓNICA,HIBRIDA
Ing. Mecatronica,6A,IE030,ANALISIS Y DISE~O DE MECANISMOS,177424,MARTIN DEL CAMPO MELENDREZ RENE MAXIMILIANO,JUEVES,18,19,EL86,HIBRIDA
Ing. Mecatronica,6A,IE049,DISE~O ELECTRONICO ASISTIDO POR COMPUTADORA,177514,RUIZ FERNANDEZ LUIS ENRIQUE,SABADO,8,9,EL32,HIBRIDA
Ing. Mecatronica,6A,IE034,ELECTRONEUMATICA,177539,JIMENEZ GARCIA INGRID PAULINA,SABADO,10,12,EL18,HIBRIDA
Ing. Mecatronica,6A,IE053,MANUFACTURA ASISTIDA POR COMPUTADORA ( CAM ),177596,GUILLEN BONILLA ALEX,SABADO,12,14,EL1,HIBRIDA
Ing. Mecatronica,6A,IE056,PROGRAMACION AVANZADA DE PLC,205532,RUIZ FERNANDEZ LUIS ENRIQUE,SABADO,14,16,EL36,HIBRIDA
Ing. Mecatronica,6B,IE056,PROGRAMACION AVANZADA DE PLC,218092,MURILLO MORA JEFTE,MARTES,8,10,LAB. MECATRÓNICA,
Ing. Mecatronica,6B,IE053,MANUFACTURA ASISTIDA POR COMPUTADORA ( CAM ),193091,TIRADO PRADO OLGA ANAJETHZY,MARTES,10,12,LAB. ELECT. Y COMP.,
Ing. Mecatronica,6B,IE030,ANALISIS Y DISE~O DE MECANISMOS,193073,MURILLO MORA JEFTE,MARTES,14,16,C15,
Ing. Mecatronica,6B,IE052,INTERFACES HOMBRE-MAQUINA,193090,TIRADO PRADO OLGA ANAJETHZY,MARTES,16,18,C3,
Ing. Mecatronica,6B,IE049,DISE~O ELECTRONICO ASISTIDO POR COMPUTADORA,193078,RAMIREZ MEDINA TONATIUH,MARTES,18,19,EL93,
Ing. Mecatronica,6B,IE030,ANALISIS Y DISE~O DE MECANISMOS,193073,MURILLO MORA JEFTE,MIERCOLES,18,19,EL49,
Ing. Mecatronica,6B,IE052,INTERFACES HOMBRE-MAQUINA,193090,TIRADO PRADO OLGA ANAJETHZY,JUEVES,18,20,EL93,
Ing. Mecatronica,6B,IE049,DISE~O ELECTRONICO ASISTIDO POR COMPUTADORA,193078,RAMIREZ MEDINA TONATIUH,VIERNES,8,10,CITA 0,
Ing. Mecatronica,6B,REC03,RECREACION Y APROVECHAMIENTO,,,VIERNES,10,12,AULA-RECREACION-4,
Ing. Mecatronica,6B,IE029,ANALISIS DE SISTEMAS Y SE~ALES,193071,RAMOS MARTINEZ MOISES BULMARO,VIERNES,12,14,C5,
Ing. Mecatronica,6B,IE034,ELECTRONEUMATICA,177540,JIMENEZ GARCIA INGRID PAULINA,VIERNES,14,16,D13,
Ing. Mecatronica,6B,IE042,TEORIA DEL CONTROL,193095,FLORES LEON HECTOR DANIEL,VIERNES,16,18,A16,
Ing. Mecatronica,6B,IE056,PROGRAMACION AVANZADA DE PLC,218092,MURILLO MORA JEFTE,VIERNES,18,20,EL83,
Ing. Mecatronica,6B,IE034,ELECTRONEUMATICA,177540,JIMENEZ GARCIA INGRID PAULINA,SABADO,8,10,EL48,
Ing. Mecatronica,6B,IE029,ANALISIS DE SISTEMAS Y SE~ALES,193071,RAMOS MARTINEZ MOISES BULMARO,SABADO,10,12,EL35,
Ing. Mecatronica,6B,IE053,MANUFACTURA ASISTIDA POR COMPUTADORA ( CAM ),193091,TIRADO PRADO OLGA ANAJETHZY,SABADO,12,14,EL39,
Ing. Mecatronica,6B,IE042,TEORIA DEL CONTROL,193095,FLORES LEON HECTOR DANIEL,SABADO,14,16,EL93,
Ing. Mecatronica,7A,IE004,PLAN DE NEGOCIOS I,182542,GARCIA BECERRA JORGE ARTURO,LUNES,8,10,C2,HIBRIDA
Ing. Mecatronica,7A,REC03,RECREACION Y APROVECHAMIENTO,,,LUNES,10,12,AULA-RECREACION-31,
Ing. Mecatronica,7A,I3780,FORMULACION Y EVALUACION DE PROYECTOS,195013,GUILLEN BONILLA ALEX,LUNES,12,14,D15,HIBRIDA
Ing. Mecatronica,7A,IE043,INTELIGENCIA ARTIFICIAL,181861,CERVANTES ALVAREZ SALVADOR,LUNES,14,16,CITA3,HIBRIDA
Ing. Mecatronica,7A,IE139,ECONOMIA,194975,ROSALES VALENZUELA KARLA VIRIDIANA,LUNES,16,18,B6,HIBRIDA
Ing. Mecatronica,7A,I3780,FORMULACION Y EVALUACION DE PROYECTOS,195013,GUILLEN BONILLA ALEX,MIERCOLES,18,20,EL28,HIBRIDA
Ing. Mecatronica,7A,IE055,PROCESAMIENTO DE SE~ALES DIGITALES,181865,DE LA TORRE GOMORA MIGUEL ANGEL,JUEVES,18,20,EL48,HIBRIDA
Ing. Mecatronica,7A,IE055,PROCESAMIENTO DE SE~ALES DIGITALES,181865,DE LA TORRE GOMORA MIGUEL ANGEL,VIERNES,8,10,CITA1,HIBRIDA
Ing. Mecatronica,7A,IE040,SISTEMAS ROBOTICOS,181869,ORTIZ TORRES GERARDO,VIERNES,10,12,LAB. ELECT. Y COMP.,HIBRIDA
Ing. Mecatronica,7A,IE031,CONTROL AVANZADO,181727,SORCIA VAZQUEZ FELIPE DE JESUS,VIERNES,12,14,LAB. MECATRÓNICA,HIBRIDA
Ing. Mecatronica,7A,IE065,SISTEMAS EMBEBIDOS,181870,CRUZ ROJAS ALAN,VIERNES,14,16,A6,HIBRIDA
Ing. Mecatronica,7A,IE139,ECONOMIA,194975,ROSALES VALENZUELA KARLA VIRIDIANA,VIERNES,18,20,EL76,HIBRIDA
Ing. Mecatronica,7A,IE065,SISTEMAS EMBEBIDOS,181870,CRUZ ROJAS ALAN,SABADO,8,10,EL09,HIBRIDA
Ing. Mecatronica,7A,IE043,INTELIGENCIA ARTIFICIAL,181861,CERVANTES ALVAREZ SALVADOR,SABADO,10,12,EL27,HIBRIDA
Ing. Mecatronica,7A,IE040,SISTEMAS ROBOTICOS,181869,ORTIZ TORRES GERARDO,SABADO,12,14,EL11,HIBRIDA
Ing. Mecatronica,7A,IE031,CONTROL AVANZADO,181727,SORCIA VAZQUEZ FELIPE DE JESUS,SABADO,16,18,EL98,HIBRIDA
Ing. Mecatronica,7A,IE004,PLAN DE NEGOCIOS I,182542,GARCIA BECERRA JORGE ARTURO,SABADO,18,20,EL87,HIBRIDA
Ing. Mecatronica,8A,IE067,"SUPERVISION,CONTROL Y ADQUISICION DE DATOS",187684,MARTIN DEL CAMPO MELENDREZ RENE MAXIMILIANO,LUNES,18,21,EL12,HIBRIDA
Ing. Mecatronica,8A,REC03,RECREACION Y APROVECHAMIENTO,,,MARTES,8,10,AULA-RECREACION-11,
Ing. Mecatronica,8A,IE129,SEMINARIO DE ACTUALIZACION TECNOLOGICA II,250741,JIMENEZ GARCIA INGRID PAULINA,MARTES,10,12,CITA2,
Ing. Mecatronica,8A,IE058,PROPIEDAD INTELECTUAL I,188382,FLORES BARRAGAN BERENICE,MARTES,12,14,B3,HIBRIDA
